# Tau Act n Variance
# (n=0 represents var_a0_sq)
1 0 39 0.0004813961111638466
1 0 40 0.00046702975790859357
1 0 41 0.00045457443155848655
1 0 42 0.00044081030279540656
1 0 43 0.00042499160748491014
1 0 44 0.0004153227136295581
1 0 45 0.00040915742752586725
1 0 46 0.00039963285657076974
1 0 47 0.00039111563996993434
1 0 48 0.0003817701282777589
1 0 49 0.0003741566261465401
1 0 50 0.0003710033891994111
1 0 51 0.0003618105960239307
1 0 52 0.00035989623675680227
1 0 53 0.0003531207467947857
1 0 54 0.00035157468401370365
1 0 55 0.00034714400744672235
1 0 56 0.00034401090318119613
1 0 57 0.00033973370785258866
1 0 58 0.00033914674615925924
1 0 59 0.00033858176301124464
1 0 60 0.00033598947245505487
1 0 61 0.00033504166810107675
1 0 62 0.00033252245635015794
1 0 63 2.6846365887049003e-30
1 8 0 0.6374187491193944
1 8 1 0.5844823972017393
1 8 2 0.27185137179571867
1 8 3 0.12843571361962058
1 8 4 0.0722963103401228
1 8 5 0.04603746303511512
1 8 6 0.029644054040218484
1 8 7 0.021063999417476872
1 8 8 0.015067248297435124
1 8 9 0.011280007690577385
1 8 10 0.008663110218341097
1 8 11 0.0067639385146052115
1 8 12 0.005488464004041738
1 8 13 0.004501740899264356
1 8 14 0.0037322415041931146
1 8 15 0.003155732316354823
1 8 16 0.002714506030012147
1 8 17 0.0023773584855651094
1 8 18 0.002055912004178748
1 8 19 0.001818153316166707
1 8 20 0.0016239502676791966
1 8 21 0.0014576289824792818
1 8 22 0.0013283811428485637
1 8 23 0.001204222159516492
1 8 24 0.001099541474575488
1 8 25 0.0010291073070362168
1 8 26 0.0009409949799498869
1 8 27 0.0008841888240914272
1 8 28 0.0008304537252453364
1 8 29 0.0007796306961984758
1 8 30 0.0007425111125756725
1 8 31 0.0006925864956278123
1 8 32 0.0006635441160913009
1 8 33 0.000631911599794697
1 8 34 0.0006015681961365198
1 8 35 0.0005757261703144731
1 8 36 0.0005477736104791167
1 8 37 0.0005309165279356546
1 8 38 0.0005093240030336575
