# Bond length fluctuation mode variances (taking last 30% of steps)
# Tau Act p Variance
0.1 88 32 3.158375071118397e-05
0.1 88 33 3.132078943140181e-05
0.1 88 34 3.087200212485644e-05
0.1 88 35 3.003122009162453e-05
0.1 88 36 3.0415883313852797e-05
0.1 88 37 3.0429015573510112e-05
0.1 88 38 2.9741305220887652e-05
0.1 88 39 2.918350817328662e-05
0.1 88 40 2.9399357262318536e-05
0.1 88 41 2.8934813960406615e-05
0.1 88 42 2.8538751375658005e-05
0.1 88 43 2.8800292234185214e-05
0.1 88 44 2.871162924046372e-05
0.1 88 45 2.8078027507807977e-05
0.1 88 46 2.766168051268545e-05
0.1 88 47 2.8059291571212856e-05
0.1 88 48 2.7815785951618048e-05
0.1 88 49 2.7453694181831565e-05
0.1 88 50 2.7625526216017782e-05
0.1 88 51 2.733474078453425e-05
0.1 88 52 2.7523635099946114e-05
0.1 88 53 2.7169316304688046e-05
0.1 88 54 2.7262313688844368e-05
0.1 88 55 2.6918476401530708e-05
0.1 88 56 2.727402667519425e-05
0.1 88 57 2.6669322048023125e-05
0.1 88 58 2.7141922057697186e-05
0.1 88 59 2.6671424479285817e-05
0.1 88 60 2.6780131665852074e-05
0.1 88 61 2.6396814946650015e-05
0.1 88 62 2.6413724705051106e-05
0.1 88 63 4.0335281754390794e-33
0.1 96 0 0.0004793798721418656
0.1 96 1 0.0001664281541548681
0.1 96 2 0.00016202001597994534
0.1 96 3 0.00013339171192455494
0.1 96 4 0.00011203474596430414
0.1 96 5 9.072959707876751e-05
0.1 96 6 7.795047381879492e-05
0.1 96 7 6.932349688943289e-05
0.1 96 8 6.215171611293007e-05
0.1 96 9 5.628112658085086e-05
0.1 96 10 5.3339141097682405e-05
0.1 96 11 5.099455554047021e-05
0.1 96 12 4.9136450769398464e-05
0.1 96 13 4.717267702606419e-05
0.1 96 14 4.533292563914929e-05
0.1 96 15 4.44505912518512e-05
0.1 96 16 4.3609258473144284e-05
0.1 96 17 4.3233078154916266e-05
0.1 96 18 4.264208842090892e-05
0.1 96 19 4.175581345023685e-05
0.1 96 20 4.1235032124982986e-05
0.1 96 21 4.069344298436114e-05
0.1 96 22 4.00395830680317e-05
0.1 96 23 3.9942559337520255e-05
0.1 96 24 3.910910333649074e-05
0.1 96 25 3.908794747004304e-05
0.1 96 26 3.9030131863444044e-05
0.1 96 27 3.841077430208847e-05
0.1 96 28 3.736671679246076e-05
0.1 96 29 3.725202194245201e-05
0.1 96 30 3.6833184422315735e-05
0.1 96 31 3.682072081701041e-05
0.1 96 32 3.6453509517356134e-05
0.1 96 33 3.6160931143620995e-05
0.1 96 34 3.518989462929915e-05
0.1 96 35 3.524609005683137e-05
0.1 96 36 3.5136767113837266e-05
0.1 96 37 3.404806735740137e-05
0.1 96 38 3.443712584135834e-05
0.1 96 39 3.442707988003194e-05
0.1 96 40 3.371129183029219e-05
0.1 96 41 3.3378477391890096e-05
0.1 96 42 3.326656354864672e-05
0.1 96 43 3.3520137664069425e-05
0.1 96 44 3.234834547065664e-05
0.1 96 45 3.2881017334016586e-05
0.1 96 46 3.279745074292151e-05
0.1 96 47 3.21068515631906e-05
0.1 96 48 3.1922209198201795e-05
0.1 96 49 3.197587473407126e-05
0.1 96 50 3.135959774061315e-05
0.1 96 51 3.107054895446067e-05
0.1 96 52 3.134600026055229e-05
0.1 96 53 3.084809436941857e-05
0.1 96 54 3.125713080989236e-05
0.1 96 55 3.119062745088305e-05
0.1 96 56 3.101272840409773e-05
0.1 96 57 3.041568244614101e-05
0.1 96 58 3.117280215740254e-05
0.1 96 59 3.064974008838462e-05
0.1 96 60 3.0243764934047146e-05
0.1 96 61 3.0341147628278037e-05
0.1 96 62 3.0678927896951935e-05
0.1 96 63 4.8024610646745855e-33
0.1 104 0 0.0005895706852323721
0.1 104 1 0.00021189761978635422
0.1 104 2 0.000199396144304367
0.1 104 3 0.0001606497183326421
0.1 104 4 0.00013292177461692446
0.1 104 5 0.00010936386043259905
0.1 104 6 9.257768892733516e-05
0.1 104 7 8.151960767997262e-05
0.1 104 8 7.156204928653144e-05
0.1 104 9 6.604089028814339e-05
0.1 104 10 6.192186087831044e-05
0.1 104 11 5.905308277320399e-05
0.1 104 12 5.683991617633718e-05
0.1 104 13 5.488658398410006e-05
0.1 104 14 5.3180838885576e-05
0.1 104 15 5.177610130634531e-05
0.1 104 16 4.969017301702878e-05
0.1 104 17 4.9768811839622866e-05
0.1 104 18 4.792632934251817e-05
0.1 104 19 4.822620953376399e-05
0.1 104 20 4.6840454159109346e-05
0.1 104 21 4.8064454071868273e-05
0.1 104 22 4.714306926145358e-05
0.1 104 23 4.657235480522403e-05
0.1 104 24 4.5582626984589415e-05
0.1 104 25 4.512240572969366e-05
0.1 104 26 4.470260770138571e-05
0.1 104 27 4.431094366162985e-05
0.1 104 28 4.340968625018972e-05
0.1 104 29 4.2934483280570354e-05
0.1 104 30 4.3360785680339424e-05
0.1 104 31 4.28341572671546e-05
0.1 104 32 4.161940983355029e-05
0.1 104 33 4.143483597283755e-05
0.1 104 34 4.136328967029193e-05
0.1 104 35 4.0840565485476054e-05
0.1 104 36 3.997007339450812e-05
0.1 104 37 4.013843195038493e-05
0.1 104 38 3.925419874496272e-05
0.1 104 39 3.9317720754090935e-05
0.1 104 40 3.85693504312205e-05
0.1 104 41 3.890707143312381e-05
0.1 104 42 3.8335822131399706e-05
0.1 104 43 3.772049734510278e-05
0.1 104 44 3.7478802115009114e-05
0.1 104 45 3.701068566285439e-05
0.1 104 46 3.764599530698798e-05
0.1 104 47 3.643416608988464e-05
0.1 104 48 3.71887277069943e-05
0.1 104 49 3.617919612639404e-05
0.1 104 50 3.615668195126457e-05
0.1 104 51 3.582278089125065e-05
0.1 104 52 3.609318010355298e-05
0.1 104 53 3.549617071108181e-05
0.1 104 54 3.57162431176742e-05
0.1 104 55 3.544351432100233e-05
0.1 104 56 3.583595664934323e-05
0.1 104 57 3.4983820245870514e-05
0.1 104 58 3.617057089109579e-05
0.1 104 59 3.4938376644155815e-05
0.1 104 60 3.485828429390332e-05
0.1 104 61 3.5171035303967594e-05
0.1 104 62 3.440582409274204e-05
0.1 104 63 5.489466128278138e-33
1 0 0 3.145532176381441e-05
1 0 1 1.5990249566717987e-05
1 0 2 1.598941732425658e-05
1 0 3 1.5757016789610343e-05
1 0 4 1.5865665204285364e-05
1 0 5 1.578846757524539e-05
1 0 6 1.5742590549311027e-05
1 0 7 1.5976486327163112e-05
